Accession	assignment
AAR03105.1	OXA-55
AAQ08905.1	OXA-60
AAT01092.1	OXA-61
AAR32134.1	OXA-62
AAP69916.1	OXA-85
AAA98406.1	OXA-9
AAG33665.1	OXA-clusterA1
YP_001844885.1	OXA-clusterA1
AAN41427.1	OXA-clusterA2
AAK55330.1	OXA-clusterA2
AEO92079.1	OXA-clusterA2
AFP97030.1	OXA-clusterA2
CAA71699.2	OXA-clusterA2
AAC41449.1	OXA-clusterA2
AAP43641.1	OXA-clusterA2
AAG24866.1	OXA-clusterA2
AAK15582.1	OXA-clusterA2
AAB59082.1	OXA-clusterA2
AEE61368.1	OXA-clusterA2
AAK58418.1	OXA-clusterA2
ACM67635.1	OXA-clusterA2
AAB05874.1	OXA-clusterA2
ACT09125.1	OXA-clusterA2
AIG94927.1	OXA-clusterA2
ABQ15112.1	OXA-clusterA2
AFC95894.1	OXA-clusterB
AGC60013.1	OXA-clusterB
AAP70012.1	OXA-clusterB
AHF71363.1	OXA-clusterB
ADG27454.1	OXA-clusterB
AFU91598.1	OXA-clusterB
ADY06444.1	OXA-clusterB
AGC70814.1	OXA-clusterB
AGC60012.1	OXA-clusterB
AEP16366.1	OXA-clusterB
AGD91915.1	OXA-clusterB
AAR89917.1	OXA-clusterB
CAA80304.1	OXA-clusterC
ABY79006.1	OXA-clusterC
CAH69530.1	OXA-clusterC
AID67109.1	OXA-clusterC
AMB19637.1	OXA-clusterC
CCE94500.1	OXA-clusterC
AER57903.1	OXA-clusterC
AHC31001.1	OXA-clusterC
BAR45714.1	OXA-clusterC
AAG45720.1	OXA-clusterC
AFN20670.1	OXA-clusterC
AAK49460.1	OXA-clusterC
CAA53242.1	OXA-clusterC
AAR32651.1	OXA-clusterC
CAL85435.1	OXA-clusterC
ACN85419.1	OXA-clusterC
AAC46344.1	OXA-clusterC
ADV41666.1	OXA-clusterC
AAD02245.1	OXA-clusterC
AAF72942.1	OXA-clusterC
ACO72579.1	OXA-clusterC
AAC15074.1	OXA-clusterC
AAB97924.1	OXA-clusterC
AAA93528.1	OXA-clusterC
CAA41211.1	OXA-clusterC
CAP69660.1	OXA-clusterC
AGR55864.1	OXA-clusterD
AAP69225.1	OXA-clusterD
AEQ73521.1	OXA-clusterD
AET05998.1	OXA-clusterD
AAK52604.1	OXA-clusterD
AAG23871.1	OXA-clusterD
AIA58911.1	OXA-clusterD
CCE73593.2	OXA-clusterE
AFQ90085.1	OXA-clusterE
ABX38721.1	OXA-clusterE
CAF74882.1	OXA-clusterF
CAD32565.1	OXA-clusterF
CAG15145.1	OXA-clusterF
CAD32564.1	OXA-clusterF
ADZ54048.1	OXA-clusterG
ABW76138.1	OXA-clusterG
AAU88145.1	OXA-clusterG
ABW76134.1	OXA-clusterG
AFM55002.1	OXA-clusterH
AIN56719.1	OXA-clusterH
AFM55001.1	OXA-clusterH
AFM55000.1	OXA-clusterH
AGK07370.1	OXA-clusterH
AGW83453.1	OXA-clusterH
AGW83454.1	OXA-clusterH
ABF47919.1	OXA-clusterI
ADK34116.1	OXA-clusterI
ABO33299.1	OXA-clusterI
YP_001840873.1	OXA-clusterI
BAP28835.1	OXA-clusterI
AIT76118.1	OXA-clusterI
AHA11126.1	OXA-clusterJ
AHA11125.1	OXA-clusterJ
ADM47435.1	OXA-clusterJ
AGW16417.1	OXA-clusterJ
AHA11124.1	OXA-clusterJ
AGI65307.1	OXA-clusterJ
AGZ83156.1	OXA-clusterJ
AFH36331.1	OXA-clusterJ
AFH36332.1	OXA-clusterJ
AFH36330.1	OXA-clusterJ
AGW16415.1	OXA-clusterK
AGW16416.1	OXA-clusterK
AEV91550.1	OXA-clusterK
AEV91551.1	OXA-clusterK
CCW28916.1	OXA-clusterK
AJO16038.1	OXA-clusterL
ADK35869.1	OXA-clusterL
ADK35871.1	OXA-clusterL
AAG35609.1	OXA-clusterL
AFN65709.1	OXA-clusterL
ADK35873.1	OXA-clusterL
AAV65289.1	OXA-clusterL
ACI28281.1	OXA-clusterL
ADK35875.1	OXA-clusterL
ACE63186.1	OXA-clusterL
AAP40270.1	OXA-clusterL
AIY30332.1	OXA-clusterL
AIY30331.1	OXA-clusterL
AIT76095.1	OXA-clusterL
AEP43731.1	OXA-clusterL
ADK35870.1	OXA-clusterL
AAW22056.1	OXA-clusterL
ADK35874.1	OXA-clusterL
ADK35872.1	OXA-clusterL
AJT57878.1	OXA-clusterL
AEV91554.1	OXA-clusterM
AEV91553.1	OXA-clusterM
AAG35607.1	OXA-clusterN
ACX70402.1	OXA-clusterN
AFG29918.1	OXA-clusterN
AGK07369.1	OXA-clusterN
ADK92148.1	OXA-clusterN
AGK07368.1	OXA-clusterN
ABP87779.2	OXA-clusterN
AAG35608.1	OXA-clusterN
AAM34291.1	OXA-clusterN
ADB28891.1	OXA-clusterN
AFK28473.1	OXA-clusterN
CAQ51348.1	OXA-clusterN
AGW16409.1	OXA-clusterO
AGW16408.1	OXA-clusterO
AGZ83154.1	OXA-clusterO
AGW83446.1	OXA-clusterO
AGW83451.1	OXA-clusterO
AGW16412.1	OXA-clusterO
AGW16410.1	OXA-clusterO
AGW16413.1	OXA-clusterO
AGW16406.1	OXA-clusterO
AGW16414.1	OXA-clusterO
AGW16404.1	OXA-clusterO
AGZ83155.1	OXA-clusterO
AGW83449.1	OXA-clusterO
AGW16405.1	OXA-clusterO
AGW83447.1	OXA-clusterO
AEV91552.1	OXA-clusterO
AGW83450.1	OXA-clusterO
AGW16407.1	OXA-clusterO
AGW83448.1	OXA-clusterO
AIZ00987.1	OXA-clusterO
AGZ83153.1	OXA-clusterO
AGW16411.1	OXA-clusterO
AGW83452.1	OXA-clusterO
AHL30282.1	OXA-clusterP
ACY56711.1	OXA-clusterP
ABY77907.1	OXA-clusterP
AJA32744.1	OXA-clusterP
AAW81339.1	OXA-clusterP
AAX51233.1	OXA-clusterP
AAW81358.1	OXA-clusterP
CAK50801.1	OXA-clusterP
ABE03012.1	OXA-clusterP
ABW95048.1	OXA-clusterP
AHL30273.1	OXA-clusterP
ACX31141.1	OXA-clusterP
ACX31142.1	OXA-clusterP
ABW95047.1	OXA-clusterP
AGU69255.1	OXA-clusterP
ABF47914.1	OXA-clusterP
YP_001707429.1	OXA-clusterP
AHL30278.1	OXA-clusterP
AHL30284.1	OXA-clusterP
ADX07748.1	OXA-clusterP
ABQ52429.1	OXA-clusterP
AHL30279.1	OXA-clusterP
AHL30283.1	OXA-clusterP
CCA94644.1	OXA-clusterP
AHN53381.1	OXA-clusterP
ABV31686.1	OXA-clusterP
AAW81341.1	OXA-clusterP
AGU69248.1	OXA-clusterP
AEL17179.1	OXA-clusterP
AHL30277.1	OXA-clusterP
YP_001713983.1	OXA-clusterP
ABF47917.1	OXA-clusterP
ABV71247.1	OXA-clusterP
CAC83905.2	OXA-clusterP
ABC84263.1	OXA-clusterP
CCA94649.1	OXA-clusterP
ADM26745.1	OXA-clusterP
AGU69251.1	OXA-clusterP
AHN07454.1	OXA-clusterP
ABV31691.1	OXA-clusterP
ABI53716.1	OXA-clusterP
ACD84990.1	OXA-clusterP
AHL30285.1	OXA-clusterP
ABV31692.1	OXA-clusterP
CCJ32596.1	OXA-clusterP
AHL30275.1	OXA-clusterP
ADI58617.1	OXA-clusterP
ADI58622.1	OXA-clusterP
AEB98921.1	OXA-clusterP
AHL30281.1	OXA-clusterP
AHL30287.1	OXA-clusterP
CAJ77809.1	OXA-clusterP
AAZ78361.1	OXA-clusterP
ACX31140.1	OXA-clusterP
ABF47916.1	OXA-clusterP
AHL30272.1	OXA-clusterP
AHL30274.1	OXA-clusterP
AFO55201.1	OXA-clusterP
AGU69250.1	OXA-clusterP
ABW70410.1	OXA-clusterP
ADM26744.1	OXA-clusterP
AAW81336.1	OXA-clusterP
AHI63011.1	OXA-clusterP
AFO55202.1	OXA-clusterP
AHL30276.1	OXA-clusterP
AEL88491.1	OXA-clusterP
AJA32742.1	OXA-clusterP
ABF47918.1	OXA-clusterP
AGU69252.1	OXA-clusterP
ADX07745.1	OXA-clusterP
AGU69254.1	OXA-clusterP
AGU69253.1	OXA-clusterP
ADI58618.1	OXA-clusterP
ABF50983.1	OXA-clusterP
AHL30286.1	OXA-clusterP
ABV31690.1	OXA-clusterP
ABD48715.1	OXA-clusterP
ADI58616.1	OXA-clusterP
ABV71246.1	OXA-clusterP
CCJ32598.1	OXA-clusterP
ABV31687.1	OXA-clusterP
ADI58621.1	OXA-clusterP
ACD45467.1	OXA-clusterP
AHK51384.1	OXA-clusterP
CCJ32597.1	OXA-clusterP
ACD84988.1	OXA-clusterP
ABV31688.1	OXA-clusterP
ABV31689.1	OXA-clusterP
AEB98923.1	OXA-clusterP
AHL30280.1	OXA-clusterP
CCJ32595.1	OXA-clusterP
CAJ77817.2	OXA-clusterP
ABC61637.1	OXA-clusterP
BAO09635.1	OXA-clusterP
AAW81337.1	OXA-clusterP
BAL15076.1	OXA-clusterP
BAN10684.1	OXA-clusterP
ACD84989.1	OXA-clusterP
ADX07747.1	OXA-clusterP
AJA32743.1	OXA-clusterP
ABC26007.1	OXA-clusterP
YP_001846219.1	OXA-clusterP
ABC26006.1	OXA-clusterP
AAX51234.1	OXA-clusterP
ABS71123.1	OXA-clusterP
ADX07746.1	OXA-clusterP
ADI58620.1	OXA-clusterP
AEB98922.1	OXA-clusterP
ABV71248.1	OXA-clusterP
ADI58619.1	OXA-clusterP
AEB98920.1	OXA-clusterP
AAW81342.1	OXA-clusterP
AEO44980.1	OXA-clusterP
AJP77058	OXA-MSI
CAI43424.1	OXY
CAI43422.1	OXY
AAL79541.1	OXY
AAL17873.1	OXY
CAI43413.1	OXY
AAN28732.1	OXY
CAA88908.1	OXY
AAL78161.1	OXY
CAI43423.1	OXY
CAG34107.1	OXY
CAI43414.1	OXY
ACV44455.1	OXY
CAA82916.1	OXY
CAI43425.1	OXY
ACV44456.1	OXY
CAI43417.1	OXY
CAB42615.1	OXY
CAI43419.1	OXY
CAB42614.1	OXY
AAL78276.1	OXY
AAL78275.1	OXY
AAL78278.2	OXY
AAL78281.2	OXY
YP_001569085.1	PC1/blaZ
ACQ82813.1	PDC
ACQ82810.1	PDC
ACQ82807.1	PDC
ACQ82812.1	PDC
ACQ82815.1	PDC
ACQ82808.1	PDC
ACQ82806.1	PDC
ACQ82814.1	PDC
ACQ82811.1	PDC
ACQ82809.1	PDC
AJP77059	PEDO-1
AJP77071	PEDO-2
AJP77076	PEDO-3
ACE77058.1	PER
CAA63714.1	PER
AEI54993.1	PER
CAA79968.1	PER
ADD80743.1	PER
ACN22483.1	PER
AAU89132.1	PER
CAA37699.1	R39
AGU01679.2	Rm3
CAA37052.1	ROB
AAK63223.1	Sed-1
AAT90847.1	SFB
AAF09244.1	SFH-1
ACR66323.1	SHV
CAQ03505.1	SHV
ABV72593.1	SHV
ABS72342.1	SHV
ABS72351.1	SHV
ABX71158.1	SHV
ACI22621.1	SHV
CAQ03506.1	SHV
CAQ03507.1	SHV
ADR80606.1	SHV
ACM04459.1	SHV
CAA66729.1	SHV
AEK48094.1	SHV
BAF95849.1	SHV
ACC99191.1	SHV
AIG51284.1	SHV
CAI76927.1	SHV
AEG79634.1	SHV
AEI83429.1	SHV
ACY70943.1	SHV
ACV32633.1	SHV
ACV32634.1	SHV
ACV32635.1	SHV
ACV32636.1	SHV
ACV32637.1	SHV
ADE58494.1	SHV
ADE08533.1	SHV
AAD43815.1	SHV
BAI94487.1	SHV
ADM25824.1	SHV
ADR66517.1	SHV
AEI83430.1	SHV
AAG17550.1	SHV
AEK80394.1	SHV
AFC60795.1	SHV
AEX99752.1	SHV
AFQ32277.1	SHV
AFK93491.1	SHV
AFN88952.1	SHV
AFQ23953.1	SHV
AFQ23954.1	SHV
AFQ23955.1	SHV
CAB37325.2	SHV
AFQ23956.1	SHV
AFQ23957.1	SHV
AFQ23958.1	SHV
AFQ23959.1	SHV
AFQ23960.1	SHV
AFQ23961.1	SHV
AFQ23962.1	SHV
AFQ23963.1	SHV
AFQ23964.1	SHV
AFQ23965.1	SHV
AAC98092.2	SHV
AFQ23966.1	SHV
AFQ23967.1	SHV
AFQ23968.1	SHV
AFQ23969.1	SHV
CCK86744.1	SHV
AFQ23970.1	SHV
BAM28879.1	SHV
AFW16978.1	SHV
AHA80958.1	SHV
AHA80959.1	SHV
AHA80963.1	SHV
AHA80962.1	SHV
AAF64386.1	SHV
AJO16040.1	SHV
AJO16042.1	SHV
CDN33427.1	SHV
AIS67768.1	SHV
AIS67769.1	SHV
CEA29750.1	SHV
CEA29751.1	SHV
AJO16047.1	SHV
AAF34333.1	SHV
AAD37413.1	SHV
AAF34334.1	SHV
AAF34335.1	SHV
AAF34336.1	SHV
AAF34337.1	SHV
BAA84973.1	SHV
AAF37209.2	SHV
AAF36719.1	SHV
AAG01039.1	SHV
AAG15384.1	SHV
AAG49894.1	SHV
CAA66730.1	SHV
WP_063864673.1	SHV
AAT75225.1	SHV
AAP33454.2	SHV
AAK69828.1	SHV
AFN82060.1	SHV
AAK64187.1	SHV
AAL68926.1	SHV
AAL82592.1	SHV
AAL82593.1	SHV
AAL79576.1	SHV
AAN77730.1	SHV
AAN04882.1	SHV
AAN04883.1	SHV
AAN04884.1	SHV
AAL40899.1	SHV
AAP82228.1	SHV
AAN39364.1	SHV
AAO53445.1	SHV
AAP03063.1	SHV
AAS98184.1	SHV
CAA39164.1	SHV
AAP41108.1	SHV
AAP41944.1	SHV
AEJ08681.1	SHV
AAT01223.1	SHV
CAI10727.2	SHV
ACB73258.1	SHV
AAO66446.1	SHV
AAV66328.1	SHV
CAA71948.1	SHV
BAF92780.1	SHV
CAI30650.2	SHV
CAI30651.2	SHV
ABY56290.1	SHV
ABA06586.1	SHV
ABA06587.1	SHV
ABA06588.1	SHV
ABA06589.1	SHV
ABA06590.1	SHV
AAA87176.1	SHV
AAY42633.1	SHV
CAJ47126.2	SHV
CAJ47127.2	SHV
CAJ47128.2	SHV
CAJ47129.2	SHV
CAJ47130.2	SHV
CAJ47131.2	SHV
CAJ47132.2	SHV
CAJ47133.2	SHV
CAJ47134.2	SHV
AAB51384.1	SHV
CAJ47135.2	SHV
CAJ47136.2	SHV
CAJ47137.2	SHV
CAJ47138.2	SHV
CAJ32371.1	SHV
ABC54571.1	SHV
ABC58727.1	SHV
ABA60809.1	SHV
AAB37395.2	SHV
ABH04327.1	SHV
ABN49110.1	SHV
ABN49111.1	SHV
ABN49113.1	SHV
ABN49112.1	SHV
ABN49114.1	SHV
CAQ03503.1	SHV
CAQ03504.1	SHV
ACT66697.1	SIM-1
AAT90846.1	SLB
BAL14456.1	SMB
AAG29813.1	SME
AHV85514.1	SME
CAA82281.1	SME
AAS92558.1	SME
AHA49908.1	SME
AJP77080	SPG-1
CAD37801.1	SPM-1
BAA23130.1	SRT
AAS07017.3	SRT
AAT45742.1	TEM
AAF19151.1	TEM
AAD45935.1	TEM
AGE11905.1	TEM
AAO33760.1	TEM
AAR84298.1	TEM
CAA71322.1	TEM
CAA46346.1	TEM
AAK82652.1	TEM
NP_052129.1	TEM
AAT46413.1	TEM
AAC32889.2	TEM
AAG44570.1	TEM
ADR71220.1	TEM
BAL68178.1	TEM
AFC75525.1	TEM
CAB65358.1	TEM
AAF05612.1	TEM
AAQ01671.1	TEM
AAW47922.1	TEM
AGK82336.1	TEM
AAF66653.1	TEM
ABQ00181.1	TEM
BAB16308.1	TEM
AAW66604.1	TEM
AAD33116.2	TEM
CAA74912.2	TEM
AGK40892.1	TEM
ADB90239.1	TEM
CAJ32372.1	TEM
ACI25375.1	TEM
CAD09800.1	TEM
AAS89982.1	TEM
ABG77582.1	TEM
AAQ98890.1	TEM
AJO16044.1	TEM
AAL03985.1	TEM
ADL13944.1	TEM
CAA38429.1	TEM
ADP20705.1	TEM
CAA76795.1	TEM
ABI74448.1	TEM
AAR89359.1	TEM
AEQ59621.1	TEM
AEL17198.1	TEM
AAL29436.1	TEM
CAA73933.1	TEM
CAC67290.1	TEM
AAS19171.1	TEM
AAM52207.1	TEM
AAM52215.1	TEM
ADM61585.1	TEM
AAL68923.1	TEM
CAB65358.1	TEM
AAZ14083.2	TEM
AFS44742.1	TEM
CAA76794.1	TEM
AAK71474.1	TEM
ABO64442.1	TEM
AAC72362.1	TEM
AAO85882.1	TEM
ABM54869.1	TEM
AGZ20205.1	TEM
AHA58207.1	TEM
AEQ59620.1	TEM
CAD24670.1	TEM
CDN33426.1	TEM
CAA41038.1	TEM
ABB97007.1	TEM
ADA79630.1	TEM
AAC36883.1	TEM
AAS89983.1	TEM
AAL29435.1	TEM
CAB92324.1	TEM
ACF32746.1	TEM
ABD60314.1	TEM
CAA66659.1	TEM
AEG64812.1	TEM
AAK17194.1	TEM
CAA71324.1	TEM
ABI74447.1	TEM
AAT46414.1	TEM
AAK14792.1	TEM
CAL08007.1	TEM
AAM22276.1	TEM
AGA83484.1	TEM
AGW25367.1	TEM
CAA76796.1	TEM
AAC32891.1	TEM
AAV83795.1	TEM
AAN05029.1	TEM
CAA76793.1	TEM
ACP18864.1	TEM
AAF05611.1	TEM
AET99222.1	TEM
AAK30619.1	TEM
CAQ00120.1	TEM
AAZ14084.2	TEM
CAG34105.1	TEM
AAD22539.1	TEM
AAS79107.1	TEM
AIS39742.1	TEM
CAA65888.1	TEM
CAJ17558.1	TEM
AAS89984.1	TEM
CAA64682.1	TEM
AAM61952.1	TEM
AAX56615.1	TEM
CBJ06718.1	TEM
CAC85660.1	TEM
ABC96711.1	TEM
AFC75523.1	TEM
AAQ93491.1	TEM
CAC43229.1	TEM
CAO98721.1	TEM
CBX53726.1	TEM
AHJ78622.1	TEM
ABI81768.1	TEM
AFN69127.1	TEM
AAN05028.1	TEM
ABM54870.1	TEM
ACR22829.1	TEM
CAI29263.1	TEM
AAL29433.1	TEM
AFC75524.1	TEM
AEK48085.1	TEM
AAZ23494.1	TEM
AAN05026.1	TEM
AAM15527.1	TEM
AHA80960.1	TEM
AAY85632.1	TEM
CAG25427.1	TEM
AAN04881.1	TEM
CCA61905.1	TEM
AAM18924.1	TEM
AAD22538.1	TEM
AAR89358.1	TEM
AFN21551.1	TEM
AAA25053.1	TEM
CAA71323.1	TEM
ABX71157.1	TEM
ABB84515.1	TEM
AAR10958.1	TEM
CAA46344.1	TEM
CAA45828.1	TEM
CAC85661.1	TEM
AAL29434.1	TEM
AAF01046.1	TEM
CAC43230.1	TEM
AGL39384.1	TEM
CAJ66089.1	TEM
ACJ04051.1	TEM
AAF05613.1	TEM
ACO07310.1	TEM
AAM61953.1	TEM
AEL88240.1	TEM
AAL77062.1	TEM
AJO16045.1	TEM
CAA46345.1	TEM
AEL79515.1	TEM
ACJ43254.1	TEM
AAQ93490.1	TEM
AAM28884.1	TEM
AAC05975.1	TEM
AFE48832.1	TEM
WP_063864911.1	TEM
AIW68620.1	TEM
CAC33832.1	THIN-B
AAD37403.1	TLA-1/3
WP_059512353.1	TLA-1/3
CAG27800.1	TLA-2
WP_063865147.1	TMB-1/2
BAM73613.1	TMB-1/2
AAN63648.1	TUS
ALU64000	VCC-1
AAS48620.1	VEB
ABN80430.1	VEB
ACO56763.1	VEB
ABM54868.1	VEB
AAK14293.1	VEB
AGH33739.1	VEB
YP_001715362.1	VEB
ACA34904.1	VEB
AAK29174.1	VEB
AAK14293.1	VEB
AAK14294.1	VEB
AGC50807.1	VIM-clusterA
AAZ73123.1	VIM-clusterA
AFN88953.1	VIM-clusterA
AFP99885.1	VIM-clusterA
ABW90721.1	VIM-clusterA
AJP67511.1	VIM-clusterA
AAS13759.1	VIM-clusterA
ACT33323.1	VIM-clusterA
AGE83081.2	VIM-clusterA
ABR10840.1	VIM-clusterA
AAN84550.1	VIM-clusterA
AET05999.1	VIM-clusterA
CBY80143.1	VIM-clusterA
AAT36613.1	VIM-clusterA
AGC50805.1	VIM-clusterA
ACV13198.1	VIM-clusterA
ACB54703.1	VIM-clusterA
AEI25539.1	VIM-clusterA
AAN52134.1	VIM-clusterA
ADO50679.1	VIM-clusterA
AFK24647.1	VIM-clusterA
ACY29468.1	VIM-clusterA
ADX78234.1	VIM-clusterA
CAJ32502.1	VIM-clusterA
AGS82586.1	VIM-clusterA
AAN63496.1	VIM-clusterA
AAS13761.1	VIM-clusterA
ADL27533.1	VIM-clusterA
AEZ49857.1	VIM-clusterA
ABC94518.1	VIM-clusterA
AAT48653.1	VIM-clusterA
AGC50806.1	VIM-clusterA
AJP08641.1	VIM-clusterA
ACB54702.1	VIM-clusterA
AAS13760.1	VIM-clusterA
AAG27703.1	VIM-clusterA
CAO83029.1	VIM-clusterA
AFP99175.1	VIM-clusterA
CAD61201.1	VIM-clusterB
AAX55643.1	y56
AGC51118.1	mecA
BAI83385.1	mecB
WP_000725529.1	mecC
AAP82271	Omp38
CAA09666	OmpK37
ABU39979.1	blaR1
YP_001245420.1	mecR1
CAA79966.1	NmcR
ALV80601.1	bcr-1
AFK80333.1	facT
NP_415632.1	mfd
CCP46182.1	mfpA
AAZ04784.1	QnrA
AAZ04783.1	QnrA
AAZ04782.1	QnrA
ACV83303.2	QnrA
ADU33193.1	QnrA
AAZ78355.1	QnrA
ABI50486.1	QnrA
AGL43631.1	QnrB
AFR46589.1	QnrB
AGL43627.1	QnrB
AFU25658.1	QnrB
AEL00461.1	QnrB
CAP45903.1	QnrB
ABG56269.1	QnrB
ABX72042.1	QnrB
AEL00458.1	QnrB
CCI51002.2	QnrB
ACS71747.1	QnrB
ABO93588.1	QnrB
ADI46626.1	QnrB
AEQ94272.1	QnrB
BAN04737.1	QnrB
AGL43632.1	QnrB
ABS30107.1	QnrB
ABP87778.1	QnrB
AFD54601.1	QnrB
CAP45902.1	QnrB
AFR46590.1	QnrB
ABC17629.1	QnrB
ADM52188.1	QnrB
AGL43626.1	QnrB
AGK90303.1	QnrB
AEL31272.1	QnrB
ADW54092.1	QnrB
AEL00450.1	QnrB
ACM50952.1	QnrB
ABW03156.3	QnrB
ADN94685.1	QnrB
AHE41343.1	QnrB
ABX72044.1	QnrB
AFY16910.1	QnrB
AEL00459.1	QnrB
AFH88686.1	QnrB
ABC86904.1	QnrB
AEL00451.1	QnrB
AGT59159.1	QnrB
ADM52193.1	QnrB
AEL00452.1	QnrB
ACS71746.1	QnrB
AFA52644.1	QnrB
AGL43629.1	QnrB
AFR46587.1	QnrB
AEL31271.1	QnrB
CAO82104.1	QnrB
ABW03157.2	QnrB
AGL43630.1	QnrB
ABX72227.1	QnrB
AEH59666.1	QnrB
AGL43625.1	QnrB
ABV66096.1	QnrB
ABP88094.1	QnrB
AFU25656.1	QnrB
ADM52186.1	QnrB
AFR46588.1	QnrB
AGL43628.1	QnrB
ABC17630.2	QnrB
AEL00456.1	QnrB
AFA52645.1	QnrB
ABC17628.1	QnrB
BAG55487.1	QnrB
ADM52194.1	QnrB
AHX97725.1	QnrB
BAN04743.1	QnrB
AFA52643.1	QnrB
ADQ43424.1	QnrB
AGN92479.1	QnrB
ACK75961.1	QnrC
AHY03238.1	QnrD
ACG70184.1	QnrD
AEG74318.1	QnrS
AHE41345.1	QnrS
ABG56870.1	QnrS
AEG74319.1	QnrS
ACJ24509.1	QnrS
AHF20043.1	QnrS
ABU52984.1	QnrS
AHE41344.1	QnrS
ABF47470.1	QnrS
ADI55014.1	QnrVC
AEM62764.1	QnrVC
ACC54440.2	QnrVC
AGH08253.1	QnrVC
AJA36815.1	QnrVC
ADI81040.1	QnrVC
AAC43550.1	lrfA
NP_417544.5	patA
NP_358969.1	patB
BAA32493.1	FomA
BAA32494.1	FomB
NP_249820.1	FosA
ACC85616.1	FosA2
AEG78825.1	FosA3/4
BAP18892.1	FosA3/4
AJE60855.1	FosA5/6
WP_069174570.1	FosA5/6
KKE03230.1	FosA7
NP_831795.1	FosB
ADX95999.1	FosB3
CAA83855.1	FosC
BAJ10053.1	FosC2
BAO79518.1	FosK
CWV56762.1	FosX
YP_489321.1	mdtG
WP_011303797	fusD
CAA90432.1	fusH
AAL12234.1	fusB
YP_007652797.1	BRP
AAA65956.1	vanA
AHH83938.1	vanB
AAA24786.1	vanC
AAM09849.1	vanD
AAL27442.1	vanE
AAF36803.1	vanF
ABA71731.1	vanG
AAA65955.1	vanHA
AAB05626.1	vanHB
AAM09850.1	vanHD
AAF36802.1	vanHF
ACL82960.1	vanHM
AHA41499.1	vanHO
AEP96393.1	vanI
NP_627787	vanJ
WP_011461306	vanKI
ABX54687.1	vanL
ACL82961.1	vanM
AEP40500.1	vanN
AHA41500.1	vanO
AAA65953.1	vanRA
AAB05622.1	vanRB
AAF86641.1	vanRC
AAM09851.1	vanRD
AAL27445.1	vanRE
AAR84672.1	vanRF
ABA71727.1	vanRG
WP_011461303	vanRI
ABX54691.1	vanRL
ACL82957.1	vanRM
AEP40503.1	vanRN
AHA41505.1	vanRO
AAA65954.1	vanSA
AAB05623.1	vanSB
AAF86642.1	vanSC
ACM47284	vanSD
AAL27446.1	vanSE
AAR84673.1	vanSF
ABA71728.1	vanSG
WP_011461302.1	vanSI
ABX54692.1	vanSL
ACL82958.1	vanSM
AEP40504.1	vanSN
AHA41504.1	vanSO
AAD22403.1	vanTC
AAL27444.1	vanTE
ABA71733.1	vanTG
ABX54689.1	vanTmL
AEP40502.2	vanTN
ABX54690.1	vanTrL
ABA71726.1	vanUG
AAO82019.1	vanVB
AAB05625.1	vanWB
ABA71730.1	vanWG
WP_005813024.1	vanWI
AAA65957.1	vanXA/XM
ACL82962.1	vanXA/XM
AAB05628.1	vanXB
AAM09852.1	vanXD
AAF36804.1	vanXF
WP_015943580.1	vanXI
AHA41501.1	vanXO
AAF61331.1	vanXYC
AAL27443.1	vanXYE
ABA71732.1	vanXYG
ABX54688.1	vanXYL
AEP40501.1	vanXYN
AAA65958.1	vanYA
AAB05624.1	vanYB
AAM09853.1	vanYD
AAF36805.1	vanYF
ABA71729.1	vanYG
ACL82959.1	vanYM
AAA65959.1	vanZA
AAF36806.1	vanZF
CAL64019.1	cfrA
YP_001255356.1	cfrC
WP_015735625.1	cipA
YP_001420189.1	clbA
YP_002773985.1	clbB
YP_174574.1	clbC
XP_753111.1	abcA
BAD89844.2	abeM
YP_002325052.1	abeS
CAC41008.1	acrA
ABG77965.1	acrA
NP_414996.1	acrA
NP_414995.1	acrB
AAC76297.1	AcrE
AAC76298.1	AcrF
YP_002325610.1	adeA
YP_002325611.1	adeB
ALX99516.1	adeC
YP_001706894.1	adeF
YP_001706893.1	adeG/ceoB
AAB58161.1	adeG/ceoB
YP_001713101.1	adeH
YP_002320475.1	adeI
AAX14802.1	adeJ
AAX14803.1	adeK
EGP45232.2	AxyX
EGP45231.1	AxyY
AAC36944.1	blt
AAA22277.1	bmr
CAE00499.1	cdeA
AAB58160.1	ceoA
ABS43901.1	cmeA
ABS43151.1	cmeB
BAO79432.1	cmeC
BAG75524.1	efmA
NP_217362.1	efpA
CDO61513.1	efrA
CDO61516.1	efrB
BAC11911.1	emeA
BAA16547.1	emrA
AAC75733.1	emrB
EFF04178.1	emrD
CAA77936.1	emrE-Eco
NP_253677.1	emrE-Pae
BAA11236.1	emrK
BAA11237.1	emrY
WP_014550864.1	hmrM
NP_207972.1	hp1181
NP_207975.1	hp1184
ABF33001.1	lmrP
AFH35853.1	mdfA
NP_459347.2	mdsA
NP_459346.1	mdsB
NP_459345.2	mdsC
AAC75135.2	mdtA
AAC75136.1	mdtB
AAC75137.1	mdtC
BAE77781.1	mdtE
AAC76539.1	mdtF
AAC74149.2	mdtH
AML99881.1	MdtK
AAC76733.1	mdtL
AAC77293.1	mdtM
BAE78084.1	mdtN
BAE78083.1	mdtO
BAE78082.1	mdtP
AAU95768.1	mepA
NP_249116.1	MexA
AAA74437.1	MexB
AAB41956.1	MexC
AAB41957.1	MexD
NP_251183.1	MexE
